name,n,m,p,corr,seed,S,E,ratio,q_star,max_S,relax_gap,theta_S,depth_S,status,outer,cuts,ilp,time,archive,coverage,false_pos,mismatch
molfp_n5_m3_p3_c000_s2,5,3,3,0.0,2,1327,42,0.031650339110776186,7.181818181818182,9.583333333333334,0.25059288537549407,3526,1,optimal,2,69,214,9.220852136611938,7,16.666666666666668,0,0
molfp_n5_m3_p3_c000_s3,5,3,3,0.0,3,1146,80,0.06980802792321117,9.625,10.166666666666666,0.05327868852459016,3918,1,optimal,2,2,13,0.0795586109161377,3,3.75,0,0
molfp_n5_m3_p3_c025_s1,5,3,3,0.25,1,963,11,0.01142263759086189,4.705882352941177,11.0,0.5721925133689839,11176,2,optimal,3,34,112,1.8629324436187744,5,45.45454545454545,0,0
molfp_n5_m3_p3_c025_s2,5,3,3,0.25,2,1327,38,0.028636021100226075,7.181818181818182,9.583333333333334,0.25059288537549407,1959,1,optimal,4,14,53,0.76261305809021,7,18.42105263157895,0,0
molfp_n5_m3_p3_c025_s3,5,3,3,0.25,3,1146,214,0.18673647469458987,8.071428571428571,10.166666666666666,0.20608899297423888,4166,1,optimal,2,8,31,0.202256441116333,4,1.8691588785046729,0,0
molfp_n5_m3_p3_c050_s1,5,3,3,0.5,1,963,6,0.006230529595015576,4.705882352941177,11.0,0.5721925133689839,6571,2,optimal,3,28,94,1.399824619293213,5,83.33333333333333,0,0
molfp_n5_m3_p3_c050_s2,5,3,3,0.5,2,1327,17,0.01281085154483798,7.071428571428571,9.583333333333334,0.26211180124223604,2835,1,optimal,2,18,62,0.7878713607788086,3,17.647058823529413,0,0
molfp_n5_m3_p3_c050_s3,5,3,3,0.5,3,1146,44,0.038394415357766144,7.611111111111111,10.166666666666666,0.25136612021857924,5345,1,optimal,1,5,20,0.12291979789733887,2,4.545454545454546,0,0
molfp_n5_m3_p3_c075_s1,5,3,3,0.75,1,963,1,0.0010384215991692627,3.25,11.0,0.7045454545454546,6140,2,optimal,1,31,99,1.298389196395874,1,100.0,0,0
molfp_n5_m3_p3_c075_s2,5,3,3,0.75,2,1327,1,0.0007535795026375283,6.428571428571429,9.583333333333334,0.32919254658385094,3844,1,optimal,1,19,63,0.5667369365692139,1,100.0,0,0
molfp_n5_m3_p3_c075_s3,5,3,3,0.75,3,1146,1,0.0008726003490401396,1.9696969696969697,10.166666666666666,0.8062593144560357,5534,3,optimal,1,16,58,0.6475341320037842,1,100.0,0,0
molfp_n5_m3_p3_c090_s1,5,3,3,0.9,1,963,1,0.0010384215991692627,3.25,11.0,0.7045454545454546,3266,2,optimal,1,21,71,0.7331106662750244,1,100.0,0,0
molfp_n5_m3_p3_c090_s2,5,3,3,0.9,2,1327,1,0.0007535795026375283,6.428571428571429,9.583333333333334,0.32919254658385094,3978,1,optimal,1,12,41,0.32665419578552246,1,100.0,0,0
molfp_n5_m3_p3_c090_s3,5,3,3,0.9,3,1146,1,0.0008726003490401396,1.9696969696969697,10.166666666666666,0.8062593144560357,5061,3,optimal,1,16,56,0.6042661666870117,1,100.0,0,0
molfp_n5_m3_p3_c100_s1,5,3,3,1.0,1,963,1,0.0010384215991692627,3.25,11.0,0.7045454545454546,3120,2,optimal,1,28,94,1.042851209640503,1,100.0,0,0
molfp_n5_m3_p3_c100_s2,5,3,3,1.0,2,1327,1,0.0007535795026375283,6.428571428571429,9.583333333333334,0.32919254658385094,3786,1,optimal,1,12,41,0.3484508991241455,1,100.0,0,0
molfp_n5_m3_p3_c100_s3,5,3,3,1.0,3,1146,1,0.0008726003490401396,1.9696969696969697,10.166666666666666,0.8062593144560357,6933,2,optimal,1,16,55,0.5577723979949951,1,100.0,0,0
molfp_n5_m3_p4_c000_s1,5,3,4,0.0,1,963,111,0.11526479750778816,12.875,12.875,0.0,0,0,optimal,2,0,7,0.045212507247924805,2,1.8018018018018018,0,0
molfp_n5_m3_p4_c000_s2,5,3,4,0.0,2,1327,54,0.04069329314242653,3.306122448979592,6.0,0.4489795918367347,4323,1,limit,2,51,156,12.887768030166626,11,20.37037037037037,0,0
molfp_n5_m3_p4_c000_s3,5,3,4,0.0,3,1146,159,0.1387434554973822,6.035714285714286,6.035714285714286,0.0,0,0,optimal,2,1,10,0.05174970626831055,3,1.8867924528301887,0,0
molfp_n5_m3_p4_c025_s1,5,3,4,0.25,1,963,48,0.04984423676012461,7.3125,12.875,0.4320388349514563,1727,1,optimal,2,42,133,4.77439284324646,14,29.166666666666668,0,0
molfp_n5_m3_p4_c025_s2,5,3,4,0.25,2,1327,42,0.031650339110776186,4.416666666666667,6.0,0.2638888888888889,2895,1,optimal,2,11,40,0.4047074317932129,8,19.047619047619047,0,0
molfp_n5_m3_p4_c025_s3,5,3,4,0.25,3,1146,591,0.5157068062827225,6.035714285714286,6.035714285714286,0.0,0,0,optimal,3,0,9,0.02454376220703125,3,0.5076142131979695,0,0
molfp_n5_m3_p4_c050_s1,5,3,4,0.5,1,963,22,0.02284527518172378,7.3125,12.875,0.4320388349514563,2708,1,optimal,2,22,73,1.6685068607330322,10,45.45454545454545,0,0
molfp_n5_m3_p4_c050_s2,5,3,4,0.5,2,1327,17,0.01281085154483798,5.529411764705882,6.0,0.0784313725490196,1773,2,optimal,1,8,31,0.23195171356201172,1,5.882352941176471,0,0
molfp_n5_m3_p4_c050_s3,5,3,4,0.5,3,1146,66,0.05759162303664921,6.035714285714286,6.035714285714286,0.0,0,0,optimal,3,0,9,0.026078462600708008,3,4.545454545454546,0,0
molfp_n5_m3_p4_c075_s1,5,3,4,0.75,1,963,9,0.009345794392523364,6.333333333333333,12.875,0.5080906148867314,3847,1,optimal,2,28,92,2.092672824859619,4,44.44444444444444,0,0
molfp_n5_m3_p4_c075_s2,5,3,4,0.75,2,1327,1,0.0007535795026375283,5.529411764705882,6.0,0.0784313725490196,1194,2,optimal,1,8,31,0.14838647842407227,1,100.0,0,0
molfp_n5_m3_p4_c075_s3,5,3,4,0.75,3,1146,2,0.0017452006980802793,6.035714285714286,6.035714285714286,0.0,0,0,optimal,1,0,7,0.018737316131591797,1,50.0,0,0
molfp_n5_m3_p4_c090_s1,5,3,4,0.9,1,963,1,0.0010384215991692627,6.0,12.875,0.5339805825242718,5780,2,optimal,1,21,78,1.548295259475708,1,100.0,0,0
molfp_n5_m3_p4_c090_s2,5,3,4,0.9,2,1327,1,0.0007535795026375283,5.529411764705882,6.0,0.0784313725490196,1040,1,optimal,1,8,29,0.1541290283203125,1,100.0,0,0
molfp_n5_m3_p4_c090_s3,5,3,4,0.9,3,1146,1,0.0008726003490401396,6.035714285714286,6.035714285714286,0.0,0,0,optimal,1,0,7,0.017081260681152344,1,100.0,0,0
molfp_n5_m3_p4_c100_s1,5,3,4,1.0,1,963,1,0.0010384215991692627,6.0,12.875,0.5339805825242718,5760,2,optimal,1,14,59,0.7424004077911377,1,100.0,0,0
molfp_n5_m3_p4_c100_s2,5,3,4,1.0,2,1327,1,0.0007535795026375283,5.529411764705882,6.0,0.0784313725490196,992,1,optimal,1,8,29,0.15714001655578613,1,100.0,0,0
molfp_n5_m3_p4_c100_s3,5,3,4,1.0,3,1146,1,0.0008726003490401396,6.035714285714286,6.035714285714286,0.0,0,0,optimal,1,0,6,0.014939069747924805,1,100.0,0,0
molfp_n6_m4_p2_c000_s1,6,4,2,0.0,1,1436,15,0.010445682451253482,2.3846153846153846,5.555555555555555,0.5707692307692308,3521,1,optimal,2,76,236,5.667801141738892,3,20.0,0,0
molfp_n6_m4_p2_c000_s2,6,4,2,0.0,2,1130,43,0.03805309734513274,7.3125,11.571428571428571,0.3680555555555556,2619,1,optimal,2,12,44,0.7554209232330322,7,16.27906976744186,0,0
molfp_n6_m4_p2_c000_s3,6,4,2,0.0,3,2121,25,0.011786892975011787,7.2,55.5,0.8702702702702703,1224,1,optimal,4,27,93,1.6652002334594727,11,44.0,0,0
molfp_n6_m4_p2_c025_s1,6,4,2,0.25,1,1436,26,0.018105849582172703,2.3846153846153846,5.555555555555555,0.5707692307692308,3091,1,limit,2,100,304,12.060816764831543,5,19.23076923076923,0,0
molfp_n6_m4_p2_c025_s2,6,4,2,0.25,2,1130,16,0.01415929203539823,5.833333333333333,11.571428571428571,0.49588477366255146,2146,2,optimal,2,25,93,2.420088052749634,4,25.0,0,0
molfp_n6_m4_p2_c025_s3,6,4,2,0.25,3,2121,34,0.01603017444601603,55.5,55.5,0.0,0,0,optimal,2,0,7,0.031624794006347656,2,5.882352941176471,0,0
molfp_n6_m4_p2_c050_s1,6,4,2,0.5,1,1436,20,0.013927576601671309,2.0,5.555555555555555,0.64,3229,1,limit,2,85,259,12.010235071182251,3,15.0,0,0
molfp_n6_m4_p2_c050_s2,6,4,2,0.5,2,1130,13,0.011504424778761062,5.833333333333333,11.571428571428571,0.49588477366255146,1991,2,optimal,2,19,65,1.38234543800354,8,61.53846153846154,0,0
molfp_n6_m4_p2_c050_s3,6,4,2,0.5,3,2121,17,0.008015087223008015,55.5,55.5,0.0,0,0,optimal,2,0,8,0.041403770446777344,2,11.764705882352942,0,0
molfp_n6_m4_p2_c075_s1,6,4,2,0.75,1,1436,2,0.001392757660167131,1.04,5.555555555555555,0.8128,4912,1,optimal,1,70,215,5.08166241645813,2,100.0,0,0
molfp_n6_m4_p2_c075_s2,6,4,2,0.75,2,1130,5,0.004424778761061947,3.35,11.571428571428571,0.7104938271604938,1512,2,optimal,3,36,118,2.9734206199645996,4,80.0,0,0
molfp_n6_m4_p2_c075_s3,6,4,2,0.75,3,2121,5,0.0023573785950023575,6.45,55.5,0.8837837837837837,1824,1,optimal,1,9,33,0.23409295082092285,3,60.0,0,0
molfp_n6_m4_p2_c090_s1,6,4,2,0.9,1,1436,1,0.0006963788300835655,0.9285714285714286,5.555555555555555,0.8328571428571429,5638,2,optimal,1,40,133,1.9704067707061768,1,100.0,0,0
molfp_n6_m4_p2_c090_s2,6,4,2,0.9,2,1130,3,0.002654867256637168,1.9615384615384615,11.571428571428571,0.8304843304843305,1857,3,optimal,1,13,60,0.4210546016693115,1,33.333333333333336,0,0
molfp_n6_m4_p2_c090_s3,6,4,2,0.9,3,2121,1,0.0004714757190004715,1.0434782608695652,55.5,0.981198589894242,2655,2,optimal,1,26,99,0.5479316711425781,1,100.0,0,0
molfp_n6_m4_p2_c100_s1,6,4,2,1.0,1,1436,1,0.0006963788300835655,0.9285714285714286,5.555555555555555,0.8328571428571429,6728,2,optimal,1,30,114,0.6867148876190186,1,100.0,0,0
molfp_n6_m4_p2_c100_s2,6,4,2,1.0,2,1130,1,0.0008849557522123894,3.25,11.571428571428571,0.7191358024691358,1848,2,optimal,1,8,35,0.2032153606414795,1,100.0,0,0
molfp_n6_m4_p2_c100_s3,6,4,2,1.0,3,2121,1,0.0004714757190004715,1.0434782608695652,55.5,0.981198589894242,2160,2,optimal,1,25,99,0.5540714263916016,1,100.0,0,0
molfp_n6_m4_p3_c000_s1,6,4,3,0.0,1,1436,88,0.06128133704735376,5.944444444444445,5.944444444444445,0.0,0,0,optimal,2,1,10,0.06420207023620605,3,3.409090909090909,0,0
molfp_n6_m4_p3_c000_s2,6,4,3,0.0,2,1130,114,0.10088495575221239,11.5,11.5,0.0,0,0,optimal,3,1,13,0.08815932273864746,4,3.508771929824561,0,0
molfp_n6_m4_p3_c000_s3,6,4,3,0.0,3,2121,129,0.06082036775106082,6.542857142857143,6.578947368421052,0.005485714285714286,2088,1,optimal,2,8,31,0.1569070816040039,2,1.550387596899225,0,0
molfp_n6_m4_p3_c025_s1,6,4,3,0.25,1,1436,75,0.05222841225626741,5.944444444444445,5.944444444444445,0.0,0,0,optimal,2,0,8,0.055822134017944336,2,2.6666666666666665,0,0
molfp_n6_m4_p3_c025_s2,6,4,3,0.25,2,1130,28,0.024778761061946902,3.6666666666666665,11.5,0.6811594202898551,865,1,optimal,2,41,131,5.024666786193848,6,21.428571428571427,0,0
molfp_n6_m4_p3_c025_s3,6,4,3,0.25,3,2121,581,0.2739273927392739,6.578947368421052,6.578947368421052,0.0,0,0,optimal,3,0,9,0.026843547821044922,3,0.5163511187607573,0,0
molfp_n6_m4_p3_c050_s1,6,4,3,0.5,1,1436,26,0.018105849582172703,5.777777777777778,5.944444444444445,0.028037383177570093,185,1,optimal,3,5,25,0.28425073623657227,6,23.076923076923077,0,0
molfp_n6_m4_p3_c050_s2,6,4,3,0.5,2,1130,22,0.019469026548672566,3.5384615384615383,11.5,0.6923076923076923,886,1,optimal,2,50,158,6.899421691894531,7,31.818181818181817,0,0
molfp_n6_m4_p3_c050_s3,6,4,3,0.5,3,2121,49,0.0231023102310231,6.578947368421052,6.578947368421052,0.0,0,0,optimal,2,22,74,0.7153801918029785,3,6.122448979591836,0,0
molfp_n6_m4_p3_c075_s1,6,4,3,0.75,1,1436,2,0.001392757660167131,5.3125,5.944444444444445,0.10630841121495327,3148,1,optimal,2,19,64,0.6900243759155273,2,100.0,0,0
molfp_n6_m4_p3_c075_s2,6,4,3,0.75,2,1130,8,0.007079646017699115,2.5,11.5,0.782608695652174,1208,2,optimal,1,49,161,4.983924865722656,4,50.0,0,0
molfp_n6_m4_p3_c075_s3,6,4,3,0.75,3,2121,5,0.0023573785950023575,5.6976744186046515,6.578947368421052,0.13395348837209303,2819,1,optimal,1,30,96,1.0993454456329346,4,80.0,0,0
molfp_n6_m4_p3_c090_s1,6,4,3,0.9,1,1436,1,0.0006963788300835655,5.3125,5.944444444444445,0.10630841121495327,3711,2,optimal,1,8,31,0.22926068305969238,1,100.0,0,0
molfp_n6_m4_p3_c090_s2,6,4,3,0.9,2,1130,3,0.002654867256637168,2.0625,11.5,0.8206521739130435,2076,3,optimal,1,19,85,0.7641029357910156,2,66.66666666666667,0,0
molfp_n6_m4_p3_c090_s3,6,4,3,0.9,3,2121,1,0.0004714757190004715,5.0,6.578947368421052,0.24,4383,2,optimal,1,21,81,0.57387375831604,1,100.0,0,0
molfp_n6_m4_p3_c100_s1,6,4,3,1.0,1,1436,1,0.0006963788300835655,5.3125,5.944444444444445,0.10630841121495327,3804,2,optimal,1,7,31,0.20290088653564453,1,100.0,0,0
molfp_n6_m4_p3_c100_s2,6,4,3,1.0,2,1130,1,0.0008849557522123894,2.5,11.5,0.782608695652174,3552,2,optimal,1,9,39,0.30691051483154297,1,100.0,0,0
molfp_n6_m4_p3_c100_s3,6,4,3,1.0,3,2121,1,0.0004714757190004715,5.0,6.578947368421052,0.24,3240,2,optimal,1,22,87,0.6512575149536133,1,100.0,0,0
molfp_n6_m4_p4_c000_s1,6,4,4,0.0,1,1436,174,0.12116991643454039,37.75,37.75,0.0,0,0,optimal,2,0,7,0.057218074798583984,2,1.1494252873563218,0,0
molfp_n6_m4_p4_c000_s2,6,4,4,0.0,2,1130,187,0.1654867256637168,10.714285714285714,24.0,0.5535714285714286,3468,1,optimal,3,6,28,0.2400507926940918,7,3.7433155080213902,0,0
molfp_n6_m4_p4_c000_s3,6,4,4,0.0,3,2121,185,0.08722300801508723,5.416666666666667,9.857142857142858,0.4504830917874396,3888,1,limit,3,62,193,12.308271884918213,6,3.2432432432432434,0,0
molfp_n6_m4_p4_c025_s1,6,4,4,0.25,1,1436,122,0.08495821727019498,26.75,37.75,0.2913907284768212,5295,1,optimal,2,53,167,11.81336259841919,9,7.377049180327869,0,0
molfp_n6_m4_p4_c025_s2,6,4,4,0.25,2,1130,98,0.08672566371681416,12.4,24.0,0.48333333333333334,2938,1,optimal,2,2,14,0.11960816383361816,4,4.081632653061225,0,0
molfp_n6_m4_p4_c025_s3,6,4,4,0.25,3,2121,639,0.3012729844413013,9.857142857142858,9.857142857142858,0.0,0,0,optimal,3,0,9,0.026203155517578125,3,0.4694835680751174,0,0
molfp_n6_m4_p4_c050_s1,6,4,4,0.5,1,1436,29,0.0201949860724234,18.0,37.75,0.5231788079470199,5769,1,optimal,2,47,149,7.21756386756897,7,24.137931034482758,0,0
molfp_n6_m4_p4_c050_s2,6,4,4,0.5,2,1130,108,0.09557522123893805,10.714285714285714,24.0,0.5535714285714286,2040,2,optimal,3,4,23,0.1735391616821289,6,5.555555555555555,0,0
molfp_n6_m4_p4_c050_s3,6,4,4,0.5,3,2121,49,0.0231023102310231,9.857142857142858,9.857142857142858,0.0,0,0,optimal,3,0,10,0.03974628448486328,3,6.122448979591836,0,0
molfp_n6_m4_p4_c075_s1,6,4,4,0.75,1,1436,2,0.001392757660167131,3.4583333333333335,37.75,0.9083885209713024,8516,1,optimal,2,57,178,6.888280153274536,2,100.0,0,0
molfp_n6_m4_p4_c075_s2,6,4,4,0.75,2,1130,9,0.007964601769911504,10.714285714285714,24.0,0.5535714285714286,3400,2,optimal,3,4,23,0.150620698928833,4,44.44444444444444,0,0
molfp_n6_m4_p4_c075_s3,6,4,4,0.75,3,2121,5,0.0023573785950023575,8.538461538461538,9.857142857142858,0.13377926421404682,4409,1,optimal,2,6,26,0.17480015754699707,5,100.0,0,0
molfp_n6_m4_p4_c090_s1,6,4,4,0.9,1,1436,1,0.0006963788300835655,3.4583333333333335,37.75,0.9083885209713024,9724,1,optimal,1,31,99,2.238802671432495,1,100.0,0,0
molfp_n6_m4_p4_c090_s2,6,4,4,0.9,2,1130,6,0.005309734513274336,8.727272727272727,24.0,0.6363636363636364,4328,2,optimal,2,2,14,0.07988762855529785,3,50.0,0,0
molfp_n6_m4_p4_c090_s3,6,4,4,0.9,3,2121,1,0.0004714757190004715,4.142857142857143,9.857142857142858,0.5797101449275363,6105,2,optimal,1,6,25,0.15285897254943848,1,100.0,0,0
molfp_n6_m4_p4_c100_s1,6,4,4,1.0,1,1436,1,0.0006963788300835655,3.4583333333333335,37.75,0.9083885209713024,11200,2,optimal,1,27,105,2.0343093872070312,1,100.0,0,0
molfp_n6_m4_p4_c100_s2,6,4,4,1.0,2,1130,1,0.0008849557522123894,4.705882352941177,24.0,0.803921568627451,4528,2,optimal,1,6,24,0.14349651336669922,1,100.0,0,0
molfp_n6_m4_p4_c100_s3,6,4,4,1.0,3,2121,1,0.0004714757190004715,4.142857142857143,9.857142857142858,0.5797101449275363,4320,2,optimal,1,6,25,0.14820647239685059,1,100.0,0,0
molfp_n7_m4_p2_c000_s1,7,4,2,0.0,1,5275,1,0.0001895734597156398,1.103448275862069,5.333333333333333,0.7931034482758621,1226,1,optimal,1,92,300,11.88263201713562,1,100.0,0,0
molfp_n7_m4_p2_c000_s2,7,4,2,0.0,2,3309,7,0.0021154427319431852,4.833333333333333,29.5,0.8361581920903954,2873,1,optimal,1,47,148,2.3440663814544678,4,57.142857142857146,0,0
molfp_n7_m4_p2_c000_s3,7,4,2,0.0,3,1931,4,0.0020714655618850335,1.9444444444444444,4.222222222222222,0.5394736842105263,1553,2,optimal,1,37,126,3.1624691486358643,3,75.0,0,0
molfp_n7_m4_p2_c025_s1,7,4,2,0.25,1,5275,46,0.008720379146919432,5.333333333333333,5.333333333333333,0.0,0,0,optimal,2,10,40,0.576120138168335,7,15.217391304347826,0,0
molfp_n7_m4_p2_c025_s2,7,4,2,0.25,2,3309,52,0.015714717437292233,21.666666666666668,29.5,0.2655367231638418,55,1,optimal,1,3,14,0.08946990966796875,4,7.6923076923076925,0,0
molfp_n7_m4_p2_c025_s3,7,4,2,0.25,3,1931,8,0.004142931123770067,2.9069767441860463,4.222222222222222,0.31150550795593634,1484,1,optimal,2,29,95,1.901662826538086,5,62.5,0,0
molfp_n7_m4_p2_c050_s1,7,4,2,0.5,1,5275,16,0.003033175355450237,5.333333333333333,5.333333333333333,0.0,0,0,optimal,2,6,26,0.2576465606689453,6,37.5,0,0
molfp_n7_m4_p2_c050_s2,7,4,2,0.5,2,3309,23,0.00695074040495618,4.833333333333333,29.5,0.8361581920903954,1758,2,limit,2,106,407,12.008488178253174,8,34.78260869565217,0,0
molfp_n7_m4_p2_c050_s3,7,4,2,0.5,3,1931,7,0.0036250647332988087,2.9069767441860463,4.222222222222222,0.31150550795593634,1922,1,optimal,1,11,39,0.26660990715026855,1,14.285714285714286,0,0
molfp_n7_m4_p2_c075_s1,7,4,2,0.75,1,5275,3,0.0005687203791469195,4.578947368421052,5.333333333333333,0.14144736842105263,290,1,optimal,2,10,43,0.38849496841430664,3,100.0,0,0
molfp_n7_m4_p2_c075_s2,7,4,2,0.75,2,3309,1,0.0003022061045633122,1.4375,29.5,0.951271186440678,3654,2,optimal,1,93,308,9.183210134506226,1,100.0,0,0
molfp_n7_m4_p2_c075_s3,7,4,2,0.75,3,1931,2,0.0010357327809425167,2.6451612903225805,4.222222222222222,0.3735144312393888,1693,2,optimal,1,27,87,1.1614141464233398,1,50.0,0,0
molfp_n7_m4_p2_c090_s1,7,4,2,0.9,1,5275,1,0.0001895734597156398,3.0,5.333333333333333,0.4375,653,2,optimal,1,13,56,0.30730509757995605,1,100.0,0,0
molfp_n7_m4_p2_c090_s2,7,4,2,0.9,2,3309,1,0.0003022061045633122,1.4375,29.5,0.951271186440678,3568,2,optimal,1,111,359,11.79191517829895,1,100.0,0,0
molfp_n7_m4_p2_c090_s3,7,4,2,0.9,3,1931,1,0.0005178663904712584,2.6451612903225805,4.222222222222222,0.3735144312393888,2088,2,optimal,1,13,45,0.2656974792480469,1,100.0,0,0
molfp_n7_m4_p2_c100_s1,7,4,2,1.0,1,5275,1,0.0001895734597156398,3.4285714285714284,5.333333333333333,0.35714285714285715,832,2,optimal,1,13,54,0.3763601779937744,1,100.0,0,0
molfp_n7_m4_p2_c100_s2,7,4,2,1.0,2,3309,1,0.0003022061045633122,1.4375,29.5,0.951271186440678,3860,2,optimal,1,63,213,2.9810900688171387,1,100.0,0,0
molfp_n7_m4_p2_c100_s3,7,4,2,1.0,3,1931,1,0.0005178663904712584,2.6451612903225805,4.222222222222222,0.3735144312393888,2688,2,optimal,1,13,45,0.2958247661590576,1,100.0,0,0
molfp_n7_m4_p3_c000_s1,7,4,3,0.0,1,5275,27,0.0051184834123222745,4.625,14.8,0.6875,4553,2,limit,2,75,305,12.260501146316528,2,7.407407407407407,0,0
molfp_n7_m4_p3_c000_s2,7,4,3,0.0,2,3309,32,0.00967059534602599,32.666666666666664,32.666666666666664,0.0,0,0,optimal,1,0,5,0.02048635482788086,1,3.125,0,0
molfp_n7_m4_p3_c000_s3,7,4,3,0.0,3,1931,72,0.03728638011393061,5.375,5.375,0.0,0,0,optimal,2,0,8,0.0579838752746582,2,2.7777777777777777,0,0
molfp_n7_m4_p3_c025_s1,7,4,3,0.25,1,5275,112,0.021232227488151657,4.75,14.8,0.6790540540540541,3707,2,limit,2,73,234,12.105687618255615,10,8.928571428571429,0,0
molfp_n7_m4_p3_c025_s2,7,4,3,0.25,2,3309,200,0.060441220912662436,32.666666666666664,32.666666666666664,0.0,0,0,optimal,4,2,18,0.12239217758178711,6,3.0,0,0
molfp_n7_m4_p3_c025_s3,7,4,3,0.25,3,1931,98,0.050750906266183324,5.375,5.375,0.0,0,0,optimal,2,0,8,0.05168414115905762,2,2.0408163265306123,0,0
molfp_n7_m4_p3_c050_s1,7,4,3,0.5,1,5275,17,0.0032227488151658767,4.75,14.8,0.6790540540540541,4154,2,limit,2,82,253,12.012933254241943,9,52.94117647058823,0,0
molfp_n7_m4_p3_c050_s2,7,4,3,0.5,2,3309,25,0.0075551526140828044,32.666666666666664,32.666666666666664,0.0,0,0,optimal,4,15,57,0.8009846210479736,7,28.0,0,0
molfp_n7_m4_p3_c050_s3,7,4,3,0.5,3,1931,24,0.012428793371310202,4.538461538461538,5.375,0.1556350626118068,1320,1,optimal,2,13,47,0.547583818435669,4,16.666666666666668,0,0
molfp_n7_m4_p3_c075_s1,7,4,3,0.75,1,5275,4,0.0007582938388625592,4.75,14.8,0.6790540540540541,4257,2,optimal,1,21,83,0.8024251461029053,1,25.0,0,0
